ZipCode,Pop16YAO,MedianEarnings16YAO,MedianEarnings25YAO,MedianEarningsBachelors25YAO,MedianEarningsGradOrProfDeg25YAO
14004,6158,39043,45036,44640,60313
14005,1128,33611,41993,50769,59688
14006,5520,33134,39737,53155,56250
14008,590,29583,34957,,
14009,2773,33717,37219,50417,51696
14011,3997,31501,38377,57143,49728
14012,1151,37634,41452,,62500
14013,1063,28393,31174,46250,60179
14020,12186,30838,35268,41719,62269
14024,830,34375,42344,64000,64444
14025,1587,41755,43075,72361,54306
14026,385,39115,40000,84063,
14028,984,34907,39219,86875,61750
14030,833,39547,41023,48333,69792
14031,5690,43312,49690,51159,65456
14032,5077,55554,64322,73182,91604
14033,1023,48268,49786,58625,76406
14034,1037,28234,31223,52750,75500
14035,35,,,,
14036,2914,35881,40207,56250,66250
14037,703,31844,33906,35250,
14039,51,39583,46250,,
14040,1176,35093,37442,35333,
14041,82,33750,34375,,
14042,1956,28026,31500,39167,60250
14043,14133,37794,41156,52292,53529
14047,3624,36348,40160,49623,63142
14048,6737,26190,30725,39148,52708
14051,10963,63234,68981,68534,96260
14052,9796,43064,50523,64750,64154
14054,788,37647,42222,63333,53750
14055,909,36250,41510,52273,65139
14057,4969,35878,41267,52859,59444
14058,1096,32130,36154,41250,49167
14059,5598,40584,50165,59792,75670
14060,134,37115,37308,,
14061,196,33636,38125,46042,
14062,1567,35598,39387,50156,83750
14063,7742,21864,39920,43839,66339
14065,778,29194,32532,54375,
14066,654,29875,36016,30000,51667
14067,2913,38516,42456,54417,71574
14068,3092,51543,58370,68525,71750
14069,398,28750,32303,,57375
14070,2572,28929,31435,42333,57500
14072,11916,42133,48886,55357,67411
14075,23892,41332,46711,57750,68183
14080,2441,31935,38108,52708,69286
14081,1511,30940,33563,46125,82614
14082,338,35000,36406,60833,95446
14085,3936,44441,48204,62731,60664
14086,19127,42488,50252,63814,65200
14091,605,27151,36414,32250,82813
14092,5715,45018,48537,54507,55323
14094,26362,33462,39463,52237,63170
14098,1584,31991,34647,47054,90208
14101,853,30208,32292,,57885
14102,609,42444,43016,60938,64485
14103,5357,29733,33638,49167,54942
14105,2138,40351,43141,53333,67083
14108,3073,32987,39134,65833,53482
14109,937,3012,,,
14111,1785,32017,36230,41458,38750
14112,18,,,,
14113,284,36500,38542,30278,79500
14120,24225,37000,42271,61143,61220
14125,2035,30272,35362,42206,62578
14126,258,48333,51875,76538,
14127,16950,45219,51875,63957,74392
14129,612,36014,39050,64583,55750
14130,86,23958,24792,,
14131,3074,37425,44291,49881,71382
14132,2973,36744,44101,54943,66553
14134,69,20804,21071,,
14135,31,,,,
14136,2370,30481,34848,44792,52396
14138,938,31172,35074,41136,20536
14139,1341,40830,41607,66250,45500
14141,4057,31908,36966,49615,65625
14143,544,28516,30441,29792,52917
14145,1024,36602,40867,53958,55804
14150,22222,34981,38585,43648,51958
14167,910,35761,37969,53194,47500
14168,10,31250,31250,,
14169,34,,,,
14170,1538,41863,48445,67031,68063
14171,1018,32500,37335,56250,53250
14172,1554,40792,42021,60150,70000
14173,230,35417,36333,,
14174,2878,40910,49390,43750,69412
14201,5863,26004,31569,40300,67602
14202,2159,32583,40873,55463,89659
14203,850,47273,51779,62083,69750
14204,3486,25860,29419,46680,61818
14206,9958,27876,31296,42296,49940
14207,10218,24032,26998,41548,56827
14208,4852,17571,28073,32284,55402
14209,4213,29970,39113,41048,64583
14210,7054,28204,31038,40156,53158
14211,9001,23025,26376,41036,40650
14212,4479,20361,22158,32257,54688
14213,11385,23622,27893,41192,44407
14214,10881,25989,36859,43057,55931
14215,18875,24710,30228,39712,47457
14216,13883,37933,41792,53021,63067
14217,13332,39716,42327,50918,55000
14218,9251,25977,31047,41417,28594
14219,7107,32633,39881,46574,75278
14220,13017,32362,36231,48369,49836
14221,28900,46906,53817,61402,72675
14222,9987,31061,41964,43972,54537
14223,12470,40098,43093,49367,55411
14224,23084,40550,44560,54210,60696
14225,19006,32568,36126,41951,56944
14226,17016,38803,49418,53526,64712
14227,12114,36653,41222,46302,56648
14228,11832,34542,44665,47736,60574
14261,4142,3029,14167,11250,44375
14301,5197,25593,28348,31250,44313
14302,0,,,,
14303,2184,22089,23342,43750,44706
14304,16317,33222,38746,53353,62526
14305,7693,25245,31128,38491,51875
14411,6166,30627,36216,47609,60897
14414,4085,40305,41827,60332,53070
14415,167,23984,31750,,
14416,1945,35593,40278,38750,65982
14418,598,44737,49167,,78000
14420,12466,21128,36965,39737,60417
14422,1333,32207,39583,48654,76875
14423,2618,37104,40788,41389,56146
14424,14904,36292,41646,58141,68700
14425,6525,42437,45813,50477,62969
14427,1046,32203,35702,50221,62500
14428,4340,38427,45314,54488,58417
14432,3189,30469,36626,41250,41693
14433,2020,31238,35877,43438,49375
14435,1638,40799,44313,57721,58125
14437,4976,30974,38358,43563,64961
14441,174,28750,29625,,
14445,5028,28648,34740,41888,51810
14450,22375,48756,53826,64256,67145
14454,6294,7115,40892,40577,63352
14456,10793,22146,31321,43801,61580
14462,285,36563,44250,40000,43750
14464,4093,30598,35949,46103,62000
14466,869,36229,40635,,65804
14467,5900,35502,40710,63260,63495
14468,10147,36103,40994,51078,58587
14469,3360,32664,36906,40304,55536
14470,4188,31127,35938,34605,54922
14471,1607,30837,36786,41776,53571
14472,4691,46341,55408,63456,78946
14475,129,43021,43021,64444,
14476,1217,31932,35746,47679,52411
14477,702,35192,38750,54261,81429
14478,1070,6055,36406,30990,18750
14479,105,65050,65500,,
14480,503,,40805,,
14481,996,33611,36842,53750,48158
14482,4776,33805,38639,47037,55700
14485,2322,35068,39137,56667,63333
14486,233,40260,42188,96125,
14487,3247,40142,48059,62011,64260
14489,3833,30866,35272,41795,42221
14502,5731,40856,48680,60573,61677
14504,1080,30781,36343,43393,48438
14505,2716,32132,36586,43494,66429
14506,863,62723,78079,84904,83083
14507,655,27853,30833,54583,
14510,2287,28843,32466,37404,
14511,244,37115,45104,,34482
14512,2348,32139,36717,49464,57813
14513,7096,26851,31241,39531,53550
14514,3731,43299,46865,50739,70801
14516,1139,34750,36552,56696,59500
14517,1400,32738,37409,52596,54698
14519,6722,34697,38959,53784,69773
14521,1143,23028,28413,37159,56875
14522,5190,31073,34741,44453,45833
14525,1667,37288,40927,59583,54000
14526,10921,46641,53116,67963,68967
14527,6482,29004,33277,44704,57500
14529,118,9677,,,
14530,2656,31267,32275,40353,41513
14532,2639,35343,40698,53787,63750
14533,1065,28664,36563,53472,67750
14534,16615,57744,66083,61279,86511
14536,268,32188,32898,40000,
14537,66,,,,
14539,85,31321,31786,,
14541,1473,25920,28702,41944,88438
14542,20,32500,32500,,
14543,1919,38913,41333,41974,70035
14544,1078,31667,35745,30078,53750
14545,97,33068,34773,48750,
14546,2917,32847,35678,50962,44609
14548,2179,35547,36771,50625,41842
14549,39,51042,51042,,
14550,818,26902,29883,,62841
14551,2750,25954,30202,38676,37361
14555,519,26469,26821,58125,51786
14559,10848,41231,47887,51374,64666
14560,1014,38017,41392,42344,50329
14561,1797,33267,40856,34922,70556
14564,8220,54611,60286,70164,75060
14568,3733,38943,44677,58043,59375
14569,3255,39566,41079,58000,85500
14571,670,27391,31152,40781,58750
14572,2570,30110,32729,36250,60288
14580,29899,43653,50091,57952,71107
14585,45,34375,34375,,
14586,6592,42892,51729,63973,66541
14588,216,11071,,,
14589,3931,33939,36724,51613,74107
14590,2479,28691,32664,,50109
14591,822,31932,37350,53929,51042
