ZipCode,NonHispanic,WhiteAlone,AfricanAmericanAlone,AmericanIndianAlaskaNative,AsianAlone,NativeHawaiianPacificIslander,OtherNonHispanic,Hispanic
29388,15236,11945,2685,0,40,8,558,485
29401,9256,7871,1144,8,98,0,135,371
29405,28486,7847,19659,57,103,30,790,1191
29412,39418,31804,6180,68,731,0,635,857
29423,977,661,191,5,15,0,105,58
29426,1875,774,1101,0,0,0,0,13
29003,6348,2385,3877,7,29,0,50,162
29030,1900,879,1021,0,0,0,0,28
29051,1906,565,1338,0,0,0,3,101
29054,8801,8453,198,4,92,0,54,459
29063,38170,26062,10199,101,535,0,1273,920
29018,2954,942,1927,0,45,0,40,17
29033,12314,8576,2821,57,529,47,284,227
29052,2111,4,2106,0,0,0,1,0
29069,4393,2626,1626,8,54,0,79,0
29079,10,0,10,0,0,0,0,0
29108,18653,9655,8647,104,31,0,216,2237
29138,8307,4706,3400,6,0,0,195,2889
29112,3771,2135,1494,0,0,0,142,70
29127,8274,6574,1637,58,5,0,0,65
29130,5712,3003,2364,36,74,0,235,43
29150,37929,17022,19653,44,617,0,593,1687
29204,18509,7289,10528,15,253,7,417,200
29006,10087,7429,2475,27,0,0,156,633
29010,12046,4120,7841,0,6,0,79,423
29031,1125,204,887,0,0,0,34,11
29048,4729,1915,2629,30,0,0,155,96
29062,131,63,68,0,0,0,0,0
29065,509,139,370,0,0,0,0,0
29067,11065,8384,2325,29,22,0,305,28
29073,44337,36430,5663,208,456,6,1574,2218
29107,2737,1806,884,1,0,0,46,0
29536,15679,6374,8369,403,0,2,531,333
29544,5248,5020,173,10,0,0,45,53
29565,7803,3779,3893,14,53,0,64,33
29575,17950,16086,627,412,221,84,520,777
29585,14267,12331,1573,55,168,0,140,755
29630,13827,11390,1505,74,435,0,423,1145
29638,3182,2321,707,0,68,0,86,43
29646,25104,13569,11345,14,7,0,169,3078
29651,43082,36765,4365,55,892,0,1005,4411
29654,9082,7815,1011,30,0,0,226,224
29662,14131,9346,4220,23,296,0,246,1565
29669,11295,10070,1017,39,0,0,169,763
29828,689,542,147,0,0,0,0,0
29801,27108,13517,12635,18,361,54,523,1200
29816,651,537,114,0,0,0,0,320
29826,119,18,100,0,0,0,1,0
29469,880,814,45,9,0,0,12,0
29479,6699,2356,4199,17,11,0,116,59
29483,77889,57182,16893,330,793,96,2595,4053
29487,2815,1081,1723,0,0,0,11,184
29506,20415,6018,14070,53,76,9,189,408
29511,4791,4417,306,2,31,0,35,195
29516,949,407,392,7,0,0,143,89
29519,228,110,118,0,0,0,0,0
29526,43866,34885,7702,69,509,46,655,2503
30339,21324,12128,5244,0,3328,16,608,2049
30401,12896,7033,5606,0,0,0,257,702
30452,1293,1001,277,0,15,0,0,79
30455,450,363,87,0,0,0,0,15
30457,5773,3924,1833,0,0,0,16,112
30467,11884,6499,5191,31,100,0,63,186
30504,12259,9337,1549,67,761,0,545,14707
30510,7664,6709,630,0,149,0,176,1378
30354,14949,2065,11542,0,192,0,1150,1449
30421,3185,2721,444,0,0,0,20,137
30434,5062,1612,3438,3,4,0,5,324
