ZipCode,OccupiedUnits,OwnerOccupiedUnits,RenterOccupiedUnits
03450,450,392,58
03451,1698,1312,386
03452,2094,1384,710
03455,936,588,348
03456,314,281,33
03457,300,255,45
03458,3132,2150,982
03461,1816,1513,303
03462,560,465,95
03464,420,382,38
03465,829,604,225
03466,639,525,114
03467,628,590,38
03470,2043,1470,573
03561,2799,1514,1285
03570,3914,2229,1685
03574,1066,736,330
03575,14,14,0
03576,1339,1083,256
03579,185,147,38
03580,545,453,92
03581,1471,1129,342
03582,1042,764,278
03583,431,373,58
03584,1499,1097,402
03585,1050,843,207
03586,277,256,21
03588,707,608,99
03590,416,314,102
03592,550,450,100
03593,209,181,28
03595,289,234,55
03597,168,127,41
03598,1514,1000,514
03601,177,164,13
03602,1056,780,276
03603,2164,1745,419
03604,96,96,0
03605,390,353,37
03607,168,153,15
03608,1247,1000,247
03609,263,184,79
03740,271,235,36
03741,1511,1179,332
03743,5652,3290,2362
03745,611,546,65
03746,104,101,3
03748,2159,1578,581
03750,279,268,11
03751,253,176,77
03752,290,229,61
03753,1238,1117,121
03754,149,0,149
03755,2789,1780,1009
03765,200,186,14
03766,4250,2167,2083
03768,638,569,69
03770,152,138,14
03771,328,294,34
03773,3165,2276,889
03774,811,665,146
03777,512,423,89
03779,326,279,47
03780,192,160,32
03781,765,661,104
03782,1216,911,305
03784,1818,857,961
03785,875,527,348
03801,10327,5420,4907
03809,1333,1134,199
03810,744,679,65
03811,2734,2520,214
03812,386,230,156
03813,1317,1126,191
03814,1153,815,338
03816,578,503,75
03817,406,287,119
03818,1764,1178,586
03819,1604,1375,229
03820,13202,6992,6210
03823,570,496,74
03824,3308,1845,1463
03825,3375,3084,291
03826,1031,695,336
03827,1173,1097,76
03830,875,806,69
03832,161,121,40
03833,8923,6661,2262
03835,2798,1903,895
03836,573,523,50
03837,592,556,36
03838,588,475,113
03839,1408,917,491
03840,1459,1224,235
03841,2592,2160,432
03842,7108,5248,1860
03844,896,817,79
03845,613,419,194
03846,435,349,86
03847,198,144,54
03848,2404,2035,369
03849,580,506,74
03850,134,134,0
03851,1545,1319,226
03852,176,176,0
03853,253,227,26
03854,390,321,69
03855,977,917,60
03856,566,513,53
03857,4022,2114,1908
03858,1793,1415,378
03860,1741,1189,552
03861,1922,1603,319
03862,1722,1549,173
03864,716,634,82
03865,3039,2523,516
03867,9116,6049,3067
03868,2185,1541,644
03869,1001,735,266
03870,2244,1769,475
03871,79,79,0
03872,1250,1106,144
03873,2168,1991,177
03874,3897,2575,1322
03875,443,342,101
03878,4964,2845,2119
03882,605,492,113
03883,63,63,0
03884,1378,1236,142
03885,2797,2443,354
03886,898,571,327
03887,752,658,94
03890,56,56,0
03894,2852,2332,520
03901,2966,2617,349
03902,998,922,76
03903,2647,2191,456
03904,3418,2138,1280
03905,1018,880,138
03906,1875,1563,312
03907,634,519,115
03908,2865,2173,692
03909,4441,3651,790
03910,159,71,88
03911,26,26,0
04001,1059,905,154
04002,2948,2600,348
04003,163,135,28
04005,9565,4991,4574
04006,91,9,82
04008,1204,1032,172
04009,2286,1724,562
04010,595,532,63
04011,8505,5760,2745
04015,1577,1177,400
04017,223,196,27
04019,18,18,0
04020,589,432,157
04021,2360,1868,492
04022,452,428,24
04024,216,187,29
04027,2157,1903,254
04029,716,585,131
04030,939,880,59
04032,3395,2572,823
04037,1243,996,247
04038,5982,4973,1009
04039,3125,2432,693
04040,1408,1202,206
04041,603,505,98
04042,2022,1757,265
04043,4966,3776,1190
04046,3390,2877,513
04047,771,641,130
04048,1235,1000,235
04049,1262,1122,140
04050,120,96,24
04051,391,356,35
04055,1595,1432,163
04056,126,94,32
04057,22,22,0
04061,1104,906,198
04062,6555,5714,841
04063,315,161,154
04064,4463,2986,1477
04066,367,227,140
04068,557,439,118
04069,628,553,75
04071,2135,1851,284
04072,7768,5245,2523
04073,6788,3864,2924
04074,7624,6253,1371
04076,1054,977,77
04079,1656,1303,353
04083,1979,1395,584
04084,2802,2538,264
04085,706,694,12
04086,3796,2861,935
04087,783,695,88
04088,579,508,71
04090,4582,3835,747
04091,336,303,33
04092,8031,4958,3073
04093,3105,2579,526
04095,540,468,72
04096,3474,2627,847
04097,1386,1240,146
04101,9033,1687,7346
04102,7811,3720,4091
04103,13246,7741,5505
04105,4633,3950,683
04106,10915,6840,4075
04107,3700,3212,488
04108,405,351,54
04109,51,38,13
04110,533,505,28
04210,10262,5800,4462
04216,178,169,9
04217,1308,1057,251
04219,591,539,52
04220,1144,1019,125
04221,304,254,50
04222,1592,1425,167
04224,928,712,216
04226,65,61,4
04227,64,47,17
04228,0,0,0
04231,113,98,15
04234,52,52,0
04236,1617,1378,239
04237,84,74,10
04238,486,413,73
04239,1833,1519,314
04240,15779,7971,7808
04250,1808,1354,454
04252,1834,1449,385
04253,833,679,154
04254,1428,774,654
04255,238,201,37
04256,1196,930,266
04257,986,824,162
04258,915,833,82
04259,1318,1109,209
04260,2138,1756,382
04261,155,132,23
04263,858,726,132
04265,441,352,89
04267,29,29,0
04268,1694,1265,429
04270,2161,1760,401
04271,0,0,0
04274,2368,1893,475
04275,154,139,15
04276,2403,1730,673
04280,2699,2232,467
04281,1742,1178,564
04282,2302,1828,474
04284,442,395,47
04285,178,154,24
04286,15,0,15
04287,1358,1220,138
04289,694,517,177
04290,543,487,56
04292,327,294,33
04294,1600,1260,340
04330,11427,6851,4576
04342,739,663,76
04343,16,16,0
04344,1401,1008,393
04345,4666,3505,1161
04346,852,612,240
04347,1099,628,471
04348,1192,1013,179
04349,446,417,29
04350,1431,1247,184
04351,1038,825,213
04352,667,614,53
04353,957,806,151
04354,631,578,53
04355,1019,855,164
04357,1603,1199,404
04358,1747,1541,206
04359,135,112,23
04360,209,188,21
04363,1063,833,230
04364,2497,1701,796
04401,18924,10408,8516
04406,291,264,27
04408,73,62,11
04410,460,411,49
04411,634,537,97
04412,3669,2386,1283
04413,93,88,5
04414,568,474,94
04415,107,81,26
04416,2307,1768,539
04417,155,146,9
04418,665,560,105
04419,1046,889,157
04421,288,196,92
04422,462,444,18
04424,327,266,61
04426,1964,1331,633
04427,1045,905,140
04428,1139,953,186
04429,1838,1547,291
04430,820,617,203
04431,29,29,0
04434,420,358,62
04435,449,426,23
04438,467,378,89
04441,798,610,188
04442,13,13,0
04443,1059,782,277
04444,3500,2946,554
04448,558,406,152
04449,563,482,81
04450,474,426,48
04451,103,96,7
04453,314,222,92
04454,13,13,0
04455,295,239,56
04456,1057,893,164
04457,2390,1625,765
04459,413,317,96
04460,535,476,59
04461,1170,897,273
04462,2306,1706,600
04463,1297,939,358
04464,249,189,60
04468,4014,2583,1431
