ZipCode,Pop16YAO,UnEmpRate16YAO,UnEmpRate20to64Y
01850,12455,6.3,5.8
01851,24385,6.2,6.3
01852,27984,8.0,6.5
01854,24714,7.4,6.3
01860,5658,6.6,5.2
01862,8937,5.6,5.3
01863,7505,5.0,4.7
01864,12621,3.1,3.5
01867,19839,3.1,2.8
01876,25673,4.1,3.8
01879,10160,4.6,4.0
01880,22207,3.3,3.3
01886,18663,3.0,2.7
01887,19356,3.8,3.2
01890,16984,2.5,2.3
01901,1542,5.4,3.3
01902,38223,6.4,6.2
01904,13864,5.7,5.5
01905,19630,5.9,4.9
01906,23743,6.4,5.0
01907,11975,3.6,3.7
01908,3087,1.4,1.1
01913,14292,3.4,3.2
01915,35456,4.1,3.4
01921,6501,5.1,3.1
01922,2616,2.8,3.0
01923,22606,3.1,2.7
01929,2942,4.7,4.5
01930,25676,5.9,5.7
01937,174,34.5,34.5
01938,11476,4.1,3.9
01940,10504,6.0,5.5
01944,4339,5.9,5.3
01945,16363,5.5,5.7
01949,7976,5.2,5.3
01950,14935,4.4,4.4
01951,3335,4.9,5.9
01952,7772,4.7,4.9
01960,44261,4.9,4.6
01966,6229,5.0,4.9
01969,5097,3.6,3.3
01970,36635,4.4,4.3
01982,6133,2.5,2.2
01983,5108,5.4,5.6
01984,4454,2.2,2.5
01985,3717,5.5,5.2
02019,13863,6.0,5.5
02021,18531,3.8,3.7
02025,6270,5.8,6.8
02026,21079,4.4,4.2
02030,4622,1.7,1.0
02032,3454,5.0,4.3
02035,14106,5.7,5.1
02038,26037,4.9,3.6
02043,17814,3.7,3.3
02045,9236,6.8,6.7
02047,92,34.1,53.8
02048,18725,6.0,6.1
02050,21175,4.8,4.2
02052,9309,4.0,3.9
02053,10555,3.4,3.2
02054,6565,2.9,2.2
02056,9189,3.3,3.3
02061,8296,4.0,3.4
02062,24139,4.4,4.1
02066,14602,4.1,4.6
02067,14181,4.5,3.5
02071,1522,11.0,12.0
02072,23852,5.5,4.4
02081,15131,4.4,4.1
02090,12244,5.1,5.4
02093,9212,5.0,5.2
02108,3616,8.3,6.2
02109,3704,6.2,6.8
02110,2115,0.8,0.9
02111,7082,8.9,7.5
02113,7172,1.5,1.2
02114,12545,3.2,2.9
02115,27854,14.2,9.0
02116,21813,4.7,3.4
02118,24152,7.3,6.6
02119,22482,10.7,10.5
02120,13403,14.6,10.4
02121,22811,13.0,12.5
02122,20767,9.6,9.3
02124,44108,9.2,8.3
02125,28683,9.5,8.7
02126,23800,10.4,9.8
02127,32415,4.4,4.4
02128,38220,5.4,5.5
02129,15927,2.8,2.5
02130,34675,4.6,4.4
02131,27676,6.0,5.0
02132,23571,5.1,5.1
02134,18259,4.9,4.5
02135,40643,4.9,4.9
02136,27330,8.2,8.0
02138,34988,5.1,5.0
02139,34141,3.7,2.9
02140,18430,5.9,6.2
02141,12456,3.1,2.9
02142,3129,2.7,3.0
02143,23784,2.8,2.7
02144,23243,3.6,3.5
02145,23107,5.6,5.8
02148,50565,5.6,5.2
02149,35641,5.5,5.2
02150,30599,5.2,5.4
02151,44418,5.8,5.9
02152,15704,4.5,4.8
02155,52213,3.3,3.2
02163,2331,8.3,5.1
02169,48386,5.6,5.5
02170,17015,6.6,6.7
02171,16124,3.3,3.0
02176,23021,2.8,2.9
02180,18572,4.0,4.1
02184,29379,4.9,4.6
02186,21387,4.2,3.8
02188,12980,6.9,6.4
02189,12737,7.9,8.6
02190,14198,5.4,5.3
02191,7162,6.7,5.4
02199,1090,1.6,1.7
02203,25,,
02210,3012,4.5,4.4
02215,24976,8.7,6.3
02301,48415,9.3,8.3
02302,25620,8.3,6.8
02322,3785,3.3,2.8
02324,23167,6.9,6.4
02330,9512,5.1,4.9
02332,12231,4.8,4.8
02333,11101,5.1,4.5
02338,6370,5.3,5.9
02339,11003,4.1,3.0
02341,8956,2.7,2.8
02343,8991,4.2,3.1
02346,20439,4.5,4.9
02347,9299,3.0,2.5
02351,13710,5.3,4.9
02356,10420,3.8,3.3
02357,1126,9.7,12.8
02359,14968,4.6,4.0
02360,49521,4.1,3.9
02364,10698,4.2,4.2
02366,198,,
02367,2454,4.9,5.1
02368,28764,8.8,8.2
02370,14678,3.6,3.2
02375,8257,5.7,5.9
02379,5807,3.8,3.5
02382,12004,4.4,2.9
02420,11288,3.1,3.4
02421,14578,5.4,5.8
02445,17113,3.0,3.1
02446,26089,3.0,3.1
02451,16024,5.1,4.8
02452,13555,4.0,3.5
02453,24974,4.0,3.7
02457,1715,3.2,2.3
02458,10230,4.6,4.6
02459,15725,1.9,1.4
02460,7685,2.4,2.8
02461,5936,2.6,2.8
02462,1233,5.8,4.7
02464,2554,3.1,3.4
02465,9279,2.3,2.7
02466,7375,4.1,3.6
02467,18635,4.3,4.0
02468,4393,1.4,1.5
02472,30299,3.9,3.5
02474,22708,3.8,4.0
02476,13664,3.5,3.0
02478,20275,4.5,4.4
02481,12271,6.1,5.9
02482,8544,4.5,4.8
02492,15822,3.9,3.8
02493,9073,3.4,3.5
02494,7856,6.0,5.7
02532,11428,4.1,3.6
02534,658,0.0,0.0
02535,1213,4.7,5.8
02536,16319,5.3,5.8
02537,5253,5.5,4.9
02538,2989,4.2,4.3
02539,3485,1.6,1.8
02540,7395,3.1,2.4
02542,593,2.6,2.6
02543,629,2.4,0.0
02553,97,,
02554,8811,2.8,3.1
02556,2372,6.1,6.5
02557,3684,1.0,1.2
02558,1058,19.2,17.0
02559,3655,2.6,1.4
02561,301,0.0,0.0
02562,2650,5.8,6.0
02563,8332,3.0,3.0
02564,205,0.0,0.0
02568,3543,7.1,6.8
02571,8618,4.2,3.9
02575,2468,1.8,2.0
02576,3782,6.1,4.1
02584,12,0.0,
02601,12726,6.1,4.7
02630,1784,3.1,3.6
02631,8556,3.3,2.9
02632,8529,4.2,3.5
02633,3799,4.6,6.0
02635,2767,5.9,6.7
02637,137,0.0,0.0
02638,2893,9.1,10.7
02639,2620,6.1,4.0
02641,192,0.0,0.0
02642,4477,5.8,3.4
02643,0,,
02644,3545,3.4,1.4
02645,8288,4.4,3.7
02646,1647,3.3,2.7
02647,74,0.0,0.0
02648,5700,2.6,3.1
02649,12087,5.6,4.8
02650,778,3.4,4.0
02651,0,,
02652,629,1.5,0.0
02653,5157,4.4,5.1
02655,3058,6.6,7.0
02657,2829,6.9,6.3
02659,868,2.8,3.6
02660,5517,6.6,5.8
02663,94,0.0,0.0
02664,7797,5.1,4.5
02666,493,11.8,0.0
02667,3035,6.0,4.8
